severity,priority,urgency
unknown,unknown,low
unknown,low,low
unknown,medium,low
unknown,high,medium
unknown,critical,medium
informational,unknown,informational
informational,low,informational
informational,medium,informational
informational,high,informational
informational,critical,informational
low,unknown,low
low,low,low
low,medium,low
low,high,medium
low,critical,medium
medium,unknown,low
medium,low,low
medium,medium,medium
medium,high,medium
medium,critical,high
high,unknown,medium
high,low,medium
high,medium,high
high,high,high
high,critical,critical
critical,unknown,high
critical,low,high
critical,medium,high
critical,high,critical
critical,critical,critical
